profile: profile-json.prof
total_time: 4.38s  total_ticks: 8480
   ticks      %    alloc MB  cost centre
      26   0.3%       312.1  Effectful.Internal.Monad.unsafeEff_
      25   0.3%       195.3  Effectful.Internal.Monad.unsafeEff
      18   0.2%       186.4  NanoUI.Layout.Solve.$wpositionNode
      12   0.1%       100.3  NanoUI.Layout.Solve.$wmeasurePass
      12   0.1%        36.4  Data.HashTable.ST.Basic.growTable/rehash
       9   0.1%        66.3  NanoUI.Frame.Paint.lowerNode1
       7   0.1%       113.5  NanoUI.Layout.Solve.$wpositionChildren
       6   0.1%        36.9  NanoUI.Draw.$wpushCornerArc
       6   0.1%        23.2  Main.$wlvl
       6   0.1%         9.6  NanoUI.Layout.Solve.$wloadChildrenScratchFromParent
       6   0.1%       153.8  NanoUI.Layout.Solve.$wwithAxisSnaps
       6   0.1%        63.4  Data.HashTable.Internal.Array.readArray
       5   0.1%        96.8  NanoUI.Frame.Chrome.$wfillStyledRect
       5   0.1%        36.9  NanoUI.Draw.$wpushCornerFan
       5   0.1%        84.5  Data.HashTable.Internal.Array.writeArray
       4   0.0%         2.5  NanoUI.Frame.$w$srunFrameEff
       4   0.0%       179.7  NanoUI.Frame.Chrome.$wwidgetVisualStyle
       4   0.0%        38.3  Effectful.Internal.Monad.getStaticRep
       3   0.0%        73.7  NanoUI.Layout.Solve.$wchildRowCrossSize
       3   0.0%        62.0  NanoUI.Layout.Solve.$wmeasureContainer
       3   0.0%        32.9  Data.HashTable.ST.Basic.insertRecord/probe
       3   0.0%        12.2  NanoUI.Damage.writeDamage1
       2   0.0%        92.2  NanoUI.Frame.Chrome.$wstrokeStyledRect
       2   0.0%        64.5  NanoUI.Frame.Spans.widgetTextPlacements1
       2   0.0%        18.5  NanoUI.Frame.Chrome.displayText2
       2   0.0%         0.0  Data.Primitive.Array.marray#
       2   0.0%         0.0  NanoUI.Layout.Solve.resolveSize
       2   0.0%         0.0  NanoUI.WidgetText.stripButtonBrackets
       2   0.0%        44.7  NanoUI.Damage.$wupdatePrevRects
       2   0.0%        56.7  Data.IntMap.Strict.Internal.$winsert
       2   0.0%       186.4  Data.HashTable.Internal.IntArray.readArray
       2   0.0%        62.8  NanoUI.Frame.Hit.scrollHitRect1
       2   0.0%         0.0  NanoUI.Frame.Hit.$wancestorScrollShift
       2   0.0%         0.0  Effectful.Internal.Env.fromAnyEffect
       2   0.0%        10.9  Main.$wloop
       1   0.0%         0.0  NanoUI.Frame.Chrome.displayText1
       1   0.0%        92.7  Main.lvl13
       1   0.0%         9.2  NanoUI.WidgetText.$j2
       1   0.0%        30.9  NanoUI.Damage.updatePrevNodeTexts2
       1   0.0%         9.3  Data.HashTable.ST.Basic.lookup/go
